album_name,release_year,album_name_short
Watching Movies with the Sound Off,2013,Watching Movies with the Sound Off
Swimming,2018,Swimming
Balloonerism,2014,Balloonerism
GO:OD AM,2015,GO:OD AM
Watching Movies with the Sound Off (10th Anniversary),2013,Watching Movies with the Sound Off
K.I.D.S. (Deluxe),2010,K.I.D.S.
Best Day Ever (5th Anniversary Remastered Edition),2011,Best Day Ever
Macadelic,2012,Macadelic
Live From Space,2013,Live From Space
Circles,2020,Circles
Faces,2014,Faces
Blue Slide Park,2011,Blue Slide Park
Blue Slide Park (Commentary Version),2011,Blue Slide Park
The Divine Feminine,2016,The Divine Feminine
5 Dollar Pony Rides,2014,Balloonerism
The Quest,2013,Watching Movies with the Sound Off
Circles (Deluxe),2020,Circles
"I Love Life, Thank You",2011,"I Love Life, Thank You"
