K,alpha,run_id,topic_label,word
5,0.02,topic_modeling_mac_miller_pos_tagged_lemma_K5_alpha0.02_20250312_181323,Topic 1,free
5,0.02,topic_modeling_mac_miller_pos_tagged_lemma_K5_alpha0.02_20250312_181323,Topic 2,night
5,0.02,topic_modeling_mac_miller_pos_tagged_lemma_K5_alpha0.02_20250312_181323,Topic 3,people
5,0.02,topic_modeling_mac_miller_pos_tagged_lemma_K5_alpha0.02_20250312_181323,Topic 4,foot
5,0.02,topic_modeling_mac_miller_pos_tagged_lemma_K5_alpha0.02_20250312_181323,Topic 5,bitch
5,0.02,topic_modeling_mac_miller_pos_tagged_lemma_K5_alpha0.02_20250312_181323,Topic 1,bad
5,0.02,topic_modeling_mac_miller_pos_tagged_lemma_K5_alpha0.02_20250312_181323,Topic 2,happy
5,0.02,topic_modeling_mac_miller_pos_tagged_lemma_K5_alpha0.02_20250312_181323,Topic 3,kid
5,0.02,topic_modeling_mac_miller_pos_tagged_lemma_K5_alpha0.02_20250312_181323,Topic 4,ready
5,0.02,topic_modeling_mac_miller_pos_tagged_lemma_K5_alpha0.02_20250312_181323,Topic 5,city
5,0.02,topic_modeling_mac_miller_pos_tagged_lemma_K5_alpha0.02_20250312_181323,Topic 1,eye
5,0.02,topic_modeling_mac_miller_pos_tagged_lemma_K5_alpha0.02_20250312_181323,Topic 2,alright
5,0.02,topic_modeling_mac_miller_pos_tagged_lemma_K5_alpha0.02_20250312_181323,Topic 3,boy
5,0.02,topic_modeling_mac_miller_pos_tagged_lemma_K5_alpha0.02_20250312_181323,Topic 4,light
5,0.02,topic_modeling_mac_miller_pos_tagged_lemma_K5_alpha0.02_20250312_181323,Topic 5,drug
5,0.02,topic_modeling_mac_miller_pos_tagged_lemma_K5_alpha0.02_20250312_181323,Topic 1,head
5,0.02,topic_modeling_mac_miller_pos_tagged_lemma_K5_alpha0.02_20250312_181323,Topic 2,song
5,0.02,topic_modeling_mac_miller_pos_tagged_lemma_K5_alpha0.02_20250312_181323,Topic 3,hand
5,0.02,topic_modeling_mac_miller_pos_tagged_lemma_K5_alpha0.02_20250312_181323,Topic 4,game
5,0.02,topic_modeling_mac_miller_pos_tagged_lemma_K5_alpha0.02_20250312_181323,Topic 5,motherfucker
5,0.02,topic_modeling_mac_miller_pos_tagged_lemma_K5_alpha0.02_20250312_181323,Topic 1,light
5,0.02,topic_modeling_mac_miller_pos_tagged_lemma_K5_alpha0.02_20250312_181323,Topic 2,tonight
5,0.02,topic_modeling_mac_miller_pos_tagged_lemma_K5_alpha0.02_20250312_181323,Topic 3,night
5,0.02,topic_modeling_mac_miller_pos_tagged_lemma_K5_alpha0.02_20250312_181323,Topic 4,clothes
5,0.02,topic_modeling_mac_miller_pos_tagged_lemma_K5_alpha0.02_20250312_181323,Topic 5,dick
5,0.02,topic_modeling_mac_miller_pos_tagged_lemma_K5_alpha0.02_20250312_181323,Topic 1,lot
