release_year,variable,value,K,alpha,run_id,album_name_short
2010,euphoria home pain angel heart rain gimme play buggin babe,0.0524589577716896,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2011,euphoria home pain angel heart rain gimme play buggin babe,0.05914000536533945,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2012,euphoria home pain angel heart rain gimme play buggin babe,0.09407389763084203,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2013,euphoria home pain angel heart rain gimme play buggin babe,0.12234575352864566,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2014,euphoria home pain angel heart rain gimme play buggin babe,0.1039489947865259,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2015,euphoria home pain angel heart rain gimme play buggin babe,0.06958109073433197,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2016,euphoria home pain angel heart rain gimme play buggin babe,0.11901219390651505,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2018,euphoria home pain angel heart rain gimme play buggin babe,0.03318502323778055,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2020,euphoria home pain angel heart rain gimme play buggin babe,0.04053321997294842,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2010,god slow follow death sign top america couple hold pills,0.01425131057036049,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2011,god slow follow death sign top america couple hold pills,0.01055580032490686,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2012,god slow follow death sign top america couple hold pills,0.07999718903994417,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2013,god slow follow death sign top america couple hold pills,0.09774474833355032,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2014,god slow follow death sign top america couple hold pills,0.10673564148407493,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2015,god slow follow death sign top america couple hold pills,0.0893767824490877,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2016,god slow follow death sign top america couple hold pills,2.254671431038522e-4,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2018,god slow follow death sign top america couple hold pills,1.9434484122133285e-4,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2020,god slow follow death sign top america couple hold pills,0.0659916076617803,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2010,bitches goddamn hundred rome ass top grand chillin god paid,0.03366239043552495,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2011,bitches goddamn hundred rome ass top grand chillin god paid,0.03909105517066826,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2012,bitches goddamn hundred rome ass top grand chillin god paid,0.12072126635154658,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2013,bitches goddamn hundred rome ass top grand chillin god paid,0.1347071738034159,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2014,bitches goddamn hundred rome ass top grand chillin god paid,0.09990045615687158,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2015,bitches goddamn hundred rome ass top grand chillin god paid,0.16441179929655944,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2016,bitches goddamn hundred rome ass top grand chillin god paid,0.00977960727049238,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2018,bitches goddamn hundred rome ass top grand chillin god paid,0.00563701537823149,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2020,bitches goddamn hundred rome ass top grand chillin god paid,0.00862822166019874,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2010,alright home gonna stay leave break told waitin inside hold,0.1514405003127337,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2011,alright home gonna stay leave break told waitin inside hold,0.19224911701499875,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2012,alright home gonna stay leave break told waitin inside hold,0.26393823778421155,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2013,alright home gonna stay leave break told waitin inside hold,0.2556140963184365,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2014,alright home gonna stay leave break told waitin inside hold,0.2412069341429483,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
2015,alright home gonna stay leave break told waitin inside hold,0.2787503921312524,10,0.02,topic_modeling_mac_miller_albums_only_K10_alpha0.02_20250309_135559,NA
