album_name_short,variable,value,K,alpha,run_id
Balloonerism,people homy dead mad bitch kid rap mom foot hater,0.058040739138833,6,0.005,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.005_20250311_152416
Best Day Ever,people homy dead mad bitch kid rap mom foot hater,0.16961713848816692,6,0.005,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.005_20250311_152416
Blue Slide Park,people homy dead mad bitch kid rap mom foot hater,0.05551360864808191,6,0.005,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.005_20250311_152416
Circles,people homy dead mad bitch kid rap mom foot hater,0.07701616400335058,6,0.005,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.005_20250311_152416
Faces,people homy dead mad bitch kid rap mom foot hater,0.08712788718643842,6,0.005,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.005_20250311_152416
GO:OD AM,people homy dead mad bitch kid rap mom foot hater,0.09152128574749165,6,0.005,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.005_20250311_152416
"I Love Life, Thank You",people homy dead mad bitch kid rap mom foot hater,0.153745613520339,6,0.005,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.005_20250311_152416
K.I.D.S.,people homy dead mad bitch kid rap mom foot hater,0.3399887358575979,6,0.005,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.005_20250311_152416
Macadelic,people homy dead mad bitch kid rap mom foot hater,0.16536435906430014,6,0.005,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.005_20250311_152416
Swimming,people homy dead mad bitch kid rap mom foot hater,0.03032292268370915,6,0.005,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.005_20250311_152416
The Divine Feminine,people homy dead mad bitch kid rap mom foot hater,9.38666295696207e-5,6,0.005,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.005_20250311_152416
Watching Movies with the Sound Off,people homy dead mad bitch kid rap mom foot hater,0.1090346205466054,6,0.005,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.005_20250311_152416
Balloonerism,kid dream day fun door couple friend blue park music,0.24054963015344968,6,0.005,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.005_20250311_152416
Best Day Ever,kid dream day fun door couple friend blue park music,0.4019573702716271,6,0.005,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.005_20250311_152416
Blue Slide Park,kid dream day fun door couple friend blue park music,0.284988369145425,6,0.005,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.005_20250311_152416
Circles,kid dream day fun door couple friend blue park music,0.09037666368603872,6,0.005,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.005_20250311_152416
Faces,kid dream day fun door couple friend blue park music,0.09984987683881148,6,0.005,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.005_20250311_152416
GO:OD AM,kid dream day fun door couple friend blue park music,0.075894920267649,6,0.005,topic_modeling_mac_miller_albums_only_pos_tagged_lemma_K6_alpha0.005_20250311_152416
